Date,Open,High,Low,Close,Volume,AdjClose
2009-12-30,26.70,26.70,26.30,26.40,1009800,26.09
2009-12-29,26.47,26.89,26.39,26.82,1681000,26.50
2009-12-28,26.45,26.58,26.33,26.51,1233000,26.19
2009-12-23,26.04,26.29,25.96,26.29,2035000,25.98
2009-12-22,26.10,26.33,25.88,25.92,1701000,25.61
2009-12-21,25.36,26.24,25.36,25.91,3732800,25.60
2009-12-18,25.36,25.70,25.33,25.40,5509700,25.10
2009-12-17,25.15,25.79,25.08,25.39,3084400,25.09
2009-12-16,24.90,25.55,24.78,25.42,2764200,25.12
2009-12-15,25.06,25.27,24.61,24.88,2529000,24.58
2009-12-14,24.81,25.20,24.79,25.03,2600600,24.73
2009-12-11,24.70,25.10,24.44,24.46,5017600,24.17
2009-12-10,24.26,25.04,24.26,24.61,3923900,24.32
2009-12-09,24.30,24.57,24.09,24.28,2348900,23.99
2009-12-08,24.79,25.11,24.19,24.55,2653700,24.26
2009-12-07,25.15,25.21,24.81,24.92,2493700,24.62
2009-12-04,25.10,25.66,24.91,25.32,2725700,25.02
2009-12-03,25.49,25.70,24.93,25.22,2968600,24.92
2009-12-02,25.12,25.43,24.92,25.16,2401900,24.86
2009-12-01,24.68,25.11,24.62,25.11,2686100,24.81
2009-11-30,24.55,24.76,24.14,24.27,2624200,23.98
2009-11-27,23.35,24.66,23.15,24.47,3743700,24.18
2009-11-26,24.76,24.79,23.78,23.98,2770500,23.69
2009-11-25,25.26,25.34,24.79,24.99,2251000,24.69
2009-11-24,24.65,25.32,24.51,24.90,2829000,24.60
2009-11-23,24.55,25.10,24.55,24.94,2412400,24.64
2009-11-20,24.50,24.79,23.78,24.31,3493500,24.02
2009-11-19,24.80,24.89,24.36,24.50,2643400,24.21
2009-11-18,24.98,25.30,24.73,24.89,2593100,24.59
2009-11-17,24.90,25.16,24.60,24.78,3427700,24.48
2009-11-16,24.60,25.06,24.50,24.90,5846800,24.60
2009-11-13,23.37,23.99,23.30,23.84,5027700,23.56
2009-11-12,23.50,24.04,23.36,23.55,5367400,23.27
2009-11-11,23.52,23.90,23.45,23.70,2646400,23.42
2009-11-10,23.38,23.55,22.99,23.23,3134000,22.95
2009-11-09,23.05,23.54,22.99,23.46,2337500,23.18
2009-11-06,22.81,23.13,22.36,22.87,3463800,22.60
2009-11-05,22.20,22.77,21.77,22.63,3396200,22.36
2009-11-04,22.03,22.60,21.96,22.43,3087900,22.16
2009-11-03,21.96,21.96,21.28,21.74,3791400,21.48
2009-11-02,21.89,22.40,21.59,22.10,3782200,21.84
2009-10-30,22.72,23.00,21.77,21.90,4047800,21.64
2009-10-29,21.81,22.69,21.73,22.62,4302000,22.35
2009-10-28,22.88,22.90,21.75,22.00,6696900,21.74
2009-10-27,23.91,24.10,23.25,23.43,3236800,23.15
2009-10-26,24.57,24.73,23.80,23.99,2367100,23.70
2009-10-23,24.53,24.90,24.32,24.40,2693000,24.11
2009-10-22,24.49,24.55,23.90,24.28,3698200,23.99
2009-10-21,25.07,25.29,24.27,24.96,3271400,24.66
2009-10-20,25.47,25.68,24.92,25.07,2741500,24.77
2009-10-19,25.28,25.46,24.85,25.34,3161100,25.04
2009-10-16,25.83,26.15,25.01,25.12,4204800,24.82
2009-10-15,25.57,25.87,24.97,25.70,4041000,25.39
