"","date","alvAC","bmwAC","cbkAC","tkaAC"
"1",2009-12-30,82.91,31.56,5.89,26.09
"2",2009-12-29,83.6,31.81,5.93,26.5
"3",2009-12-28,84.06,31.56,5.94,26.19
"4",2009-12-23,83.32,31.88,5.96,25.98
"5",2009-12-22,83.05,31.92,5.9,25.61
"6",2009-12-21,82.08,31.57,5.97,25.6
"7",2009-12-18,79.92,31.7,5.91,25.1
"8",2009-12-17,81.32,32.1,6.07,25.09
"9",2009-12-16,82.17,31.95,6.34,25.12
"10",2009-12-15,80.65,31.35,5.95,24.58
"11",2009-12-14,81.09,31.36,5.97,24.73
"12",2009-12-11,80.49,31.48,5.93,24.17
"13",2009-12-10,79.12,31.42,6.01,24.32
"14",2009-12-09,77.73,31.46,5.95,23.99
"15",2009-12-08,78.81,31.98,6.09,24.26
"16",2009-12-07,79.66,32.36,6.2,24.62
"17",2009-12-04,80.49,32.5,6.26,25.02
"18",2009-12-03,80.3,31.95,6.24,24.92
"19",2009-12-02,80.2,31.42,6.15,24.86
"20",2009-12-01,80.51,31.88,6.34,24.81
"21",2009-11-30,77.84,31.19,6.22,23.98
"22",2009-11-27,78.57,32.04,6.24,24.18
"23",2009-11-26,77.81,31.06,6.09,23.69
"24",2009-11-25,80.83,31.92,6.34,24.69
"25",2009-11-24,80.7,32.08,6.44,24.6
"26",2009-11-23,81.06,32.55,6.66,24.64
"27",2009-11-20,79.12,32.51,6.55,24.02
"28",2009-11-19,79.76,32.95,6.81,24.21
"29",2009-11-18,80.24,33.63,7.01,24.59
"30",2009-11-17,80.69,33.62,7.03,24.48
"31",2009-11-16,81.67,34.33,7.1,24.6
"32",2009-11-13,80.01,33.21,6.99,23.56
"33",2009-11-12,79.4,32.93,7.18,23.27
"34",2009-11-11,78.82,32.76,7.3,23.42
"35",2009-11-10,78.94,32.45,7.17,22.95
"36",2009-11-09,78.68,33.2,7.35,23.18
"37",2009-11-06,75.45,32.82,6.95,22.6
"38",2009-11-05,74.94,32.53,6.87,22.36
"39",2009-11-04,75.49,32.04,7.2,22.16
"40",2009-11-03,73.94,31.26,6.9,21.48
"41",2009-11-02,74.88,33.35,7.19,21.84
"42",2009-10-30,74.24,33.04,7.1,21.64
"43",2009-10-29,77.68,33.67,7.36,22.35
"44",2009-10-28,74.97,32.87,6.93,21.74
"45",2009-10-27,76.11,34.2,7.39,23.15
"46",2009-10-26,76.16,35.34,7.83,23.7
"47",2009-10-23,79.63,35.67,8.14,24.11
"48",2009-10-22,79.95,35.29,8.1,23.99
"49",2009-10-21,80.03,35.32,8.32,24.66
"50",2009-10-20,80.58,34.83,8.34,24.77
"51",2009-10-19,81.9,34.4,8.42,25.04
"52",2009-10-16,81.98,33,8.38,24.82
"53",2009-10-15,83.06,33.33,8.64,25.39
"54",2009-10-14,83.83,33.78,8.69,25.06
"55",2009-10-13,82.44,32.94,8.41,24.16
"56",2009-10-12,83.63,33.28,8.42,23.88
"57",2009-10-09,82.74,32.59,8.3,23.61
"58",2009-10-08,82.36,32.8,8.35,23.67
"59",2009-10-07,81.91,31.91,8.39,22.76
"60",2009-10-06,81.68,32.15,8.25,22.93
"61",2009-10-05,78.66,31.53,7.78,22.21
"62",2009-10-02,77.92,31.59,7.64,22.26
"63",2009-10-01,80.3,32.16,8.39,22.43
"64",2009-09-30,81.22,32.7,8.66,23.25
"65",2009-09-29,79.75,33.43,8.79,23.32
"66",2009-09-28,79.59,33.78,8.7,23.78
"67",2009-09-25,77.28,33.25,8.31,22.88
"68",2009-09-24,77.17,33.53,8.39,23.62
"69",2009-09-23,80.32,33.69,8.68,23.95
"70",2009-09-22,80.46,34.46,8.79,23.93
"71",2009-09-21,79.62,34.03,8.71,23.87
"72",2009-09-18,78.53,33.55,8.97,24.65
"73",2009-09-17,79.28,33.96,8.87,24.75
"74",2009-09-16,79.47,34.69,8.89,24.49
"75",2009-09-15,77.56,34.49,8.48,23.66
"76",2009-09-14,77.94,34.76,8.15,23.95
"77",2009-09-11,78.81,34.18,8.28,24.21
"78",2009-09-10,77.2,34.01,8.18,23.49
"79",2009-09-09,75.9,34.21,8.49,23.12
"80",2009-09-08,74.06,31.75,7.59,23.11
"81",2009-09-07,73.85,32.07,7.21,23.36
"82",2009-09-04,73.24,31.49,6.97,22.65
"83",2009-09-03,72.73,29.92,6.66,22.71
"84",2009-09-02,73.34,30.24,6.53,22.13
"85",2009-09-01,74.79,30.75,6.67,22.54
"86",2009-08-31,76.7,31.53,6.44,23.42
"87",2009-08-28,77.58,31.8,6.53,23.99
"88",2009-08-27,76.67,31.44,6.09,23.4
"89",2009-08-26,77.98,32.36,6.21,23.59
"90",2009-08-25,75.58,32.19,6.02,24.16
"91",2009-08-24,75.75,32.05,6.02,24.5
"92",2009-08-21,73.54,32.29,5.93,24.2
"93",2009-08-20,71.01,31.69,5.89,23.71
"94",2009-08-19,70.13,31.09,5.89,23.25
"95",2009-08-18,70.78,31.07,5.91,23.57
"96",2009-08-17,70.5,31.06,5.82,22.88
"97",2009-08-14,72.47,31.77,5.93,22.87
"98",2009-08-13,72.49,32.25,6.06,22.41
"99",2009-08-12,71.52,31.15,5.97,21.78
"100",2009-08-11,71.11,30.6,5.8,21.68
"101",2009-08-10,73.25,31.46,6.07,22.72
"102",2009-08-07,72.45,31.28,5.98,23.08
"103",2009-08-06,71.83,31.16,5.88,22.69
"104",2009-08-05,71.34,31.43,5.91,22.4
"105",2009-08-04,69.52,32.11,5.72,22.6
"106",2009-08-03,67.08,32.67,5.78,22.23
"107",2009-07-31,65.83,32.18,5.5,21.34
"108",2009-07-30,66.6,31.82,5.57,21.2
"109",2009-07-29,66.65,31.17,5.45,20.07
"110",2009-07-28,66.88,30.17,5.48,20.11
"111",2009-07-27,67.68,30.31,5.34,20.78
"112",2009-07-24,67.01,30.63,5.05,20.24
"113",2009-07-23,67.74,30.35,5.06,19.54
"114",2009-07-22,65.94,29.81,4.99,18.28
"115",2009-07-21,67.21,29.83,5.01,18.59
"116",2009-07-20,66.61,28.55,5.01,18.4
"117",2009-07-17,64.75,29.04,4.98,17.73
"118",2009-07-16,65.5,28.28,5.04,17.9
"119",2009-07-15,64.85,28.41,5.05,17.8
"120",2009-07-14,62.63,27.88,4.91,17.21
"121",2009-07-13,61.53,26.48,4.88,16.59
"122",2009-07-10,59.18,25.63,4.68,16.46
"123",2009-07-09,60.28,25.41,4.75,16.65
"124",2009-07-08,59.51,24.86,4.68,16.42
"125",2009-07-07,60.31,25.29,4.84,16.58
"126",2009-07-06,61.02,25.44,4.79,16.31
"127",2009-07-03,61.55,26.24,5.05,16.79
"128",2009-07-02,61.78,26.39,4.91,17.09
"129",2009-07-01,64.63,27.32,5.26,18.11
"130",2009-06-30,62.44,26.64,4.43,17.48
"131",2009-06-29,62.15,26.88,4.43,17.94
"132",2009-06-26,60.12,26.33,4.47,17.57
"133",2009-06-25,61.57,26.38,4.45,17.62
"134",2009-06-24,62.03,26.5,4.53,17.83
"135",2009-06-23,60.14,25.8,4.34,16.77
"136",2009-06-22,59.69,25.61,4.33,16.75
"137",2009-06-19,62.12,26.69,4.66,17.69
"138",2009-06-18,62.22,27.09,4.69,17.79
"139",2009-06-17,60.47,26.95,4.67,17.91
"140",2009-06-16,61.88,27.52,5,19.12
"141",2009-06-15,62.46,27.7,5.1,18.86
"142",2009-06-12,64.6,29,5.45,19.78
"143",2009-06-11,65.88,29.13,5.39,20.31
"144",2009-06-10,65.53,28.79,5.3,20.06
"145",2009-06-09,64.6,27.94,5.28,19.35
"146",2009-06-08,65.74,27.83,5.28,19.58
"147",2009-06-05,67.6,27.78,5.54,20.24
"148",2009-06-04,66.91,26.89,5.58,20.03
"149",2009-06-03,67.07,26.9,5.5,19.34
"150",2009-06-02,67.93,27.27,5.64,19.56
"151",2009-06-01,68.59,26.72,5.71,19.16
"152",2009-05-29,66.03,25.2,5.53,17.78
