Date,Open,High,Low,Close,Volume,AdjClose
2009-12-30,87.85,88.19,87.15,87.15,707600,82.91
2009-12-29,88.61,88.70,87.47,87.87,1109700,83.60
2009-12-28,88.00,88.61,87.61,88.36,807500,84.06
2009-12-23,87.79,88.10,86.68,87.58,1178800,83.32
2009-12-22,86.38,87.77,86.10,87.29,1675500,83.05
2009-12-21,85.00,86.47,84.26,86.28,1711700,82.08
2009-12-18,85.91,85.91,84.00,84.00,5561300,79.92
2009-12-17,86.04,86.83,84.98,85.48,2188700,81.32
2009-12-16,84.90,86.49,84.61,86.37,2638500,82.17
2009-12-15,85.10,85.69,83.05,84.77,2253600,80.65
2009-12-14,85.87,86.11,84.57,85.23,1739300,81.09
2009-12-11,83.20,85.29,83.20,84.60,2855100,80.49
2009-12-10,81.65,83.95,81.54,83.16,1905200,79.12
2009-12-09,82.77,83.39,80.92,81.70,2236800,77.73
2009-12-08,83.35,84.29,81.90,82.84,1821400,78.81
2009-12-07,84.21,84.59,83.51,83.73,1701600,79.66
2009-12-04,84.05,85.50,83.11,84.60,2257400,80.49
2009-12-03,85.00,85.90,84.12,84.40,2344100,80.30
2009-12-02,84.84,85.10,83.66,84.30,1776300,80.20
2009-12-01,83.00,84.80,82.97,84.63,1983100,80.51
2009-11-30,83.57,83.73,81.61,81.82,2275300,77.84
2009-11-27,80.10,83.28,79.97,82.59,2980000,78.57
2009-11-26,84.70,84.95,81.32,81.79,3015200,77.81
2009-11-25,85.90,86.24,84.46,84.96,2062100,80.83
2009-11-24,84.29,85.48,84.16,84.82,1921100,80.70
2009-11-23,84.24,85.49,84.06,85.20,1824500,81.06
2009-11-20,84.31,84.77,82.80,83.16,2929900,79.12
2009-11-19,84.14,85.31,83.62,83.84,2063100,79.76
2009-11-18,84.95,85.58,84.04,84.34,2276800,80.24
2009-11-17,84.98,85.75,84.58,84.81,1682000,80.69
2009-11-16,84.90,86.19,84.69,85.84,2327600,81.67
2009-11-13,83.54,84.45,83.14,84.10,1849000,80.01
2009-11-12,82.36,84.45,82.36,83.46,2481500,79.40
2009-11-11,83.90,84.34,82.77,82.85,2649000,78.82
2009-11-10,83.26,83.96,82.53,82.98,2865200,78.94
2009-11-09,82.50,83.99,81.90,82.70,4365600,78.68
2009-11-06,78.75,79.78,77.92,79.31,2564200,75.45
2009-11-05,78.47,79.26,77.00,78.77,2784100,74.94
2009-11-04,79.20,80.60,78.13,79.35,2872400,75.49
2009-11-03,78.73,78.89,75.16,77.72,4062800,73.94
2009-11-02,79.00,79.46,77.44,78.71,2401700,74.88
2009-10-30,81.90,81.98,77.76,78.04,3270800,74.24
2009-10-29,78.30,82.07,77.75,81.65,3289900,77.68
2009-10-28,80.96,81.35,78.80,78.80,3500000,74.97
2009-10-27,79.77,81.11,78.77,80.00,3043500,76.11
2009-10-26,84.02,84.50,78.91,80.05,3907800,76.16
2009-10-23,85.18,85.90,83.42,83.70,1978900,79.63
2009-10-22,83.00,84.59,82.03,84.04,2738600,79.95
2009-10-21,84.73,85.00,82.86,84.12,3306100,80.03
2009-10-20,86.22,86.29,83.80,84.70,3381900,80.58
2009-10-19,86.45,87.14,85.35,86.09,2045700,81.90
2009-10-16,87.75,88.40,85.51,86.17,3330000,81.98
2009-10-15,87.20,87.95,86.61,87.31,2594400,83.06
2009-10-14,87.54,88.95,87.50,88.12,2793900,83.83
